penetration,n_walkers,n_walkers_actual,weather,map,n_seeds,collision_count_mean,collision_count_std,cav_collision_count_mean,cav_collision_count_std,hdv_collision_count_mean,hdv_collision_count_std,vru_collision_count_mean,vru_collision_count_std,cav_hit_pedestrian_count_mean,cav_hit_pedestrian_count_std,hdv_hit_pedestrian_count_mean,hdv_hit_pedestrian_count_std,action_hard_brake_mean,action_hard_brake_std,action_soft_brake_mean,action_soft_brake_std,action_decelerate_mean,action_decelerate_std,phantom_brakes_suppressed_mean,phantom_brakes_suppressed_std,dead_cav_count_mean,dead_cav_count_std,cbr_mean_mean,cbr_mean_std,wall_to_sim_ratio_mean,wall_to_sim_ratio_std
0.5,60,42.0,HardRainNoon,Town05,5,1135.0,225.6778677673112,545.6,166.6862321849048,589.4,217.81827287902178,0.6,0.5477225575051662,0.4,0.5477225575051662,0.2,0.44721359549995804,2765.6,658.2562570914158,1245.8,385.3981058593828,1267.4,290.2193997650743,26.6,4.09878030638384,0.0,0.0,0.016375000000000008,0.0,1.0075968937079112,0.029142955416585063
0.5,60,59.2,HardRainNoon,Town10HD_Opt,5,1395.4,17.501428513124292,708.0,33.391615714128,687.4,41.59687488261588,4.0,3.5355339059327378,2.2,4.381780460041329,1.8,1.7888543819998317,2545.6,564.9453955914678,3372.0,457.11978736431877,3859.6,474.18277066970705,92.2,20.228692493584454,0.0,0.0,0.016375000000000008,0.0,1.1020380636056264,0.04926025804215161
1.0,60,44.8,ClearNoon,Town01,5,1372.8,33.95143590483325,1372.8,33.95143590483325,0.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,0.0,0.0,2562.8,509.2766438783542,4627.6,478.0787592018704,4611.0,402.0397990249224,54.4,12.054044964243332,0.2,0.447213595499958,0.016375000000000008,0.0,0.9583162494500478,0.03953183975013012
1.0,60,42.0,ClearNoon,Town05,5,1060.0,233.92413300042386,1060.0,233.92413300042386,0.0,0.0,1.4,1.6733200530681511,1.4,1.6733200530681511,0.0,0.0,5721.4,1156.5164503801925,2250.8,359.4547259391647,2553.8,597.065909259606,37.4,11.193748255164577,0.0,0.0,0.016375000000000008,0.0,1.2020895425478617,0.047679203595132405
1.0,60,59.2,ClearNoon,Town10HD_Opt,5,1399.2,11.122050170719426,1399.2,11.122050170719426,0.0,0.0,2.2,1.6431676725154984,2.2,1.6431676725154984,0.0,0.0,5962.8,586.1533075911113,6688.2,562.956659077766,7895.6,574.5996867385154,199.2,66.50338337257736,0.0,0.0,0.016375000000000008,0.0,1.5843283315499623,0.054196522905336074
1.0,60,44.8,ClearSunset,Town01,5,1402.8,13.311649033834989,1402.8,13.311649033834989,0.0,0.0,2.0,1.5811388300841898,2.0,1.5811388300841898,0.0,0.0,2951.0,369.82360660185014,4903.0,217.3556992581515,4995.2,329.4612268537832,68.4,32.9893922344744,0.4,0.5477225575051662,0.016375000000000008,0.0,1.012629543542862,0.02742593486593182
1.0,60,41.75,ClearSunset,Town05,4,1210.25,131.33005495062176,1210.25,131.33005495062176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5032.25,549.5436743335329,2263.5,516.974854320788,2472.25,587.3859463759752,44.25,18.39157415774952,0.0,0.0,0.016375000000000008,0.0,1.2446766585111617,0.03795262287336988
1.0,60,59.2,ClearSunset,Town10HD_Opt,5,1409.2,17.894133116750865,1409.2,17.894133116750865,0.0,0.0,3.0,1.4142135623730951,3.0,1.4142135623730951,0.0,0.0,5144.2,770.8746331278517,6882.0,742.562455285749,7721.8,706.6998655723659,176.0,33.23401871576773,0.0,0.0,0.016375000000000008,0.0,1.5921331874529518,0.07309866721180582
1.0,60,44.8,HardRainNoon,Town01,5,1381.0,22.85825890132492,1381.0,22.85825890132492,0.0,0.0,2.8,1.9235384061671346,2.8,1.9235384061671346,0.0,0.0,2490.4,385.9816057793428,4515.8,737.2884103252945,4667.8,478.56577395380043,56.6,8.763560920082659,0.0,0.0,0.016375000000000008,0.0,1.0192720623811087,0.02273712882299588
1.0,60,42.0,HardRainNoon,Town05,5,1158.2,182.26683735666234,1158.2,182.26683735666234,0.0,0.0,1.2,1.3038404810405297,1.2,1.3038404810405297,0.0,0.0,4774.4,1825.5065872244888,2377.2,213.27845648353704,2372.4,235.1452742455183,45.0,8.860022573334675,0.0,0.0,0.016375000000000008,0.0,1.2301482963562012,0.03863124432548001
1.0,60,59.2,HardRainNoon,Town10HD_Opt,5,1398.4,29.888124732073774,1398.4,29.888124732073774,0.0,0.0,3.4,1.140175425099138,3.4,1.140175425099138,0.0,0.0,4767.2,372.3045796119086,6241.6,379.4473613032511,7554.0,359.7867423905445,166.4,12.621410380777577,0.0,0.0,0.016375000000000008,0.0,1.3858608818054199,0.030947341903174393
